horizon,store_id,model,MAE,"MAPE, %",rows,fold
все,1,baseline_week_ago,69.64141414141415,13.783973962436283,231,3
все,1,baseline_two_weeks_ago,60.15151515151515,12.010744358686958,231,3
все,1,prophet,41.238297441130044,8.107426704125105,231,3
все,1,boosting,34.4572387679795,6.948260283158376,231,3
все,20,baseline_week_ago,86.1161616161616,10.310616467490119,231,3
все,20,baseline_two_weeks_ago,74.01010101010102,8.468030706161784,231,3
все,20,prophet,63.995289264923265,7.442051802970498,231,3
все,20,boosting,62.13731199052303,7.226746514563072,231,3
все,все,baseline_week_ago,77.91666666666667,11.702552522650135,504,4
все,все,baseline_two_weeks_ago,48.72222222222222,6.901748475919193,504,4
все,все,prophet,43.470146875503325,6.353767277844819,504,4
все,все,boosting,35.60425365892385,5.226457072774599,504,4
все,1,baseline_week_ago,69.16666666666667,13.654301044203665,252,4
все,1,baseline_two_weeks_ago,36.166666666666664,7.013384082528015,252,4
все,1,prophet,34.629739712081374,6.782606157447327,252,4
все,1,boosting,25.30012587387832,5.085191488658776,252,4
все,20,baseline_week_ago,86.66666666666667,9.750804001096608,252,4
все,20,baseline_two_weeks_ago,61.27777777777778,6.7901128693103745,252,4
все,20,prophet,52.31055403892529,5.924928398242311,252,4
все,20,boosting,45.9083814439694,5.367722656890422,252,4
